word,entropy,freq,vowel,overlay,y1,y2,y3,mu,sigma
slice,3.822077377,4628779,2,0,1.709780896,-0.065793081,-0.466157135,3.87765431404114,1.47004127502441
crone,3.821371648,229759,2,0,1.700120932,-0.094417104,-0.524193182,3.95814895629883,1.51252233982086
tenor,3.819882454,2361385,2,0,1.701510824,-0.080620618,-0.495632499,3.9190239906311,1.4884717464447
taper,3.819007246,1294069,2,0,1.697901855,-0.087593922,-0.509545063,3.93830633163452,1.4977217912674
saint,3.816971175,38929141,2,0,1.766035588,0.156968626,-0.011095182,3.50752401351929,1.36088836193085
route,3.810831753,31439231,3,0,2.135947215,1.386343886,-0.805784103,3.74459385871887,1.25410068035126
slant,3.807226929,1313083,1,0,1.281532863,-1.366255617,0.190582552,4.16183423995972,1.53883719444275
cleat,3.805343583,371970,2,0,1.671586166,-0.094138726,-0.518475578,3.95251631736755,1.48347568511963
tread,3.804963154,1672572,2,0,1.67338349,-0.085699572,-0.501175819,3.92874526977539,1.46971154212952
blare,3.804753755,49365,2,0,1.669910707,-0.096259576,-0.522602914,3.95828294754028,1.485710978508
hater,3.801864451,467834,2,0,1.665516252,-0.093655804,-0.516374516,3.95010900497437,1.47651529312134
steal,3.798514789,6257493,2,0,1.670540561,-0.056155477,-0.438967878,3.8430757522583,1.41361618041992
tried,3.797150789,34201786,2,0,1.721395935,0.125439811,-0.068900875,3.53965091705322,1.36120676994324
plane,3.792582553,17799728,2,0,1.681897068,0.018635042,-0.284828844,3.6838207244873,1.3631716966629
rouse,3.792574948,812361,3,0,2.044711517,1.186519789,-1.206649402,3.68074154853821,1.27391040325165
paler,3.78793773,152772,2,0,1.639885776,-0.096265202,-0.517210159,3.95320820808411,1.45569837093353
loser,3.787753784,2529180,2,0,1.644088442,-0.080824913,-0.485723063,3.90987086296082,1.43142938613892
suite,3.783790593,44829675,3,0,2.112891885,1.472297726,-0.622138828,3.89510703086853,1.39397072792053
tripe,3.783771041,215448,2,0,1.632516857,-0.096025731,-0.515383666,3.95127487182617,1.44788730144501
crest,3.783411022,5477034,1,0,1.246673497,-1.340148061,0.251377029,4.13403797149658,1.4579451084137
shear,3.781711949,2886210,2,0,1.633910975,-0.078747594,-0.479553097,3.90221929550171,1.41742181777954
sauce,3.778766342,10968629,3,0,2.039268528,1.25198343,-1.068963541,3.70468616485596,1.25857305526733
great,3.778405262,301487430,2,0,2.197582559,1.862159154,3.472133814,3.30875158309937,0.893605053424835
shire,3.777537149,2665081,2,0,1.62598609,-0.080353307,-0.481479785,3.90545606613159,1.41245818138123
large,3.774733154,165863763,2,0,1.932265994,0.980397303,1.678529227,3.31283521652222,0.885178625583649
tamer,3.770773053,355602,2,0,1.6094239,-0.095638589,-0.510418461,3.94625544548035,1.42408215999603
noise,3.768513159,25171520,3,0,2.047934811,1.343895221,-0.87858633,3.7800920009613,1.27019953727722
stone,3.768157195,42494931,2,0,1.685107987,0.178180253,0.047767554,3.63254117965698,1.41248655319214
adore,3.767655024,1176240,3,0,2.00061893,1.187880696,-1.195870764,3.69807600975037,1.28823232650757
lapse,3.765419388,1459542,2,0,1.601908043,-0.088678285,-0.49453057,3.925124168396,1.40373241901398
score,3.764801761,69315004,2,0,1.730239735,0.352387343,0.40343622,3.69665431976318,1.45048499107361
close,3.763616871,107853068,2,0,1.801625787,0.602854048,0.913630188,3.52031326293945,1.36888885498047
trope,3.762310618,109419,2,0,1.593745375,-0.097579989,-0.511650498,3.94913578033447,1.41198432445526
table,3.760730378,165341452,2,0,1.90610348,0.976437629,1.674969604,3.34102344512939,0.901661098003388
shore,3.75894186,12568485,2,0,1.611457985,-0.016726336,-0.345994069,3.76354813575745,1.3348160982132
paste,3.758177806,8913055,2,0,1.603111676,-0.040519045,-0.394177462,3.80343437194824,1.33591616153717
horse,3.757609869,58453720,2,0,1.696595196,0.281494302,0.261448053,3.70373678207397,1.45482611656189
leapt,3.755554372,411241,2,0,1.582178634,-0.095890343,-0.506040029,3.94235467910767,1.39730226993561
truce,3.755132117,897431,2,0,1.582347208,-0.092746913,-0.499506025,3.93341493606567,1.39167463779449
grace,3.754915743,17642126,2,0,1.61390067,0.016092291,-0.277899417,3.71269106864929,1.3334379196167
earth,3.753479865,61059905,2,0,1.69414423,0.298269186,0.296919808,3.71751832962036,1.45187497138977
risen,3.7528882,2619862,2,0,1.581600107,-0.081640797,-0.476178916,3.90160322189331,1.37044882774353
cause,3.750342088,65904680,3,0,2.09298025,1.607946345,-0.335283026,3.91255187988281,1.4219331741333
liner,3.746049744,4486145,2,0,1.572869999,-0.069784775,-0.449848851,3.86629867553711,1.33985733985901
aider,3.744112745,140957,3,0,1.956333228,1.18020196,-1.203934628,3.72780179977417,1.31581747531891
lathe,3.741279553,1073261,2,0,1.557786439,-0.092162307,-0.493864254,3.92758297920227,1.36603772640228
drone,3.741144136,725818,2,0,1.556880279,-0.094426298,-0.498428983,3.93388748168945,1.36930561065674
haste,3.741059138,1059853,2,0,1.557364727,-0.092258349,-0.493988909,3.92778563499451,1.36579263210297
carol,3.737125344,11109404,2,0,1.569465427,-0.027090384,-0.360078374,3.79046630859375,1.31314647197723
brace,3.736661738,2182960,2,0,1.551604057,-0.085134906,-0.478076274,3.90648555755615,1.34689748287201
prose,3.735868448,3085898,2,0,1.551900789,-0.079297386,-0.465939334,3.88988208770752,1.33643007278442
yeast,3.733372868,6083904,2,0,1.553134692,-0.059909612,-0.425674423,3.84685659408569,1.31690883636475
clone,3.733267371,9284578,2,0,1.559050726,-0.039108067,-0.383299955,3.81206297874451,1.31039154529572
snarl,3.732453756,184639,1,0,1.144995973,-1.376604947,0.193547018,4.1912112236023,1.44353711605072
coast,3.731353186,47716394,2,0,1.62892339,0.210638583,0.12566275,3.73414039611816,1.4596996307373
place,3.731162078,220970235,2,0,1.959080555,1.336857494,2.418089696,3.45838928222656,0.985606968402863
slain,3.731061174,1281084,2,0,1.539818152,-0.091223246,-0.488668935,3.92362928390503,1.34755885601044
spear,3.729905518,2942538,2,0,1.540910584,-0.080469642,-0.466409084,3.89229035377502,1.32875370979309
flare,3.727316144,2190533,2,0,1.534822361,-0.085462379,-0.475739412,3.90457534790039,1.3307204246521
prone,3.725886566,3001079,2,0,1.533799293,-0.080251095,-0.464672661,3.89298367500305,1.32437086105347
spire,3.724700944,725421,2,0,1.527327396,-0.095091668,-0.494498923,3.93869066238403,1.34643232822418
realm,3.723560544,6122762,2,0,1.535573858,-0.060052531,-0.422811917,3.85000944137573,1.30671787261963
beast,3.723271101,14787561,2,0,1.551582714,-0.003739171,-0.308095707,3.75963020324707,1.30261611938477
panel,3.722103465,53784382,2,0,1.623874905,0.249710353,0.208164103,3.77297234535217,1.4751889705658
range,3.720859951,128314924,2,0,1.763815181,0.734141725,1.194600967,3.44601607322693,1.17454779148102
cairn,3.72076657,688283,2,0,1.520185595,-0.095491668,-0.494048704,3.94059681892395,1.34136235713959
pleat,3.719667919,266830,2,0,1.517407103,-0.098275583,-0.499362156,3.94498181343079,1.34095573425293
satin,3.718376963,6620674,2,0,1.527207616,-0.057024822,-0.414983298,3.84597706794739,1.2997727394104
cadet,3.718330012,1717624,2,0,1.51777013,-0.088898708,-0.479846003,3.91990232467651,1.32711243629456
meant,3.717176687,17832930,2,0,1.546439052,0.015811422,-0.266342819,3.73236107826233,1.30514287948608
leash,3.71655819,1310125,2,0,1.513808418,-0.091619051,-0.484813716,3.9293155670166,1.32938206195831
plier,3.715653683,260940,2,0,1.510181378,-0.098475676,-0.498479371,3.9445812702179,1.3340744972229
layer,3.715553778,26912270,2,0,1.560842152,0.074765733,-0.145822539,3.72092127799988,1.36284697055817
stern,3.713684927,4643592,1,0,1.119770092,-1.348376311,0.257036862,4.08864068984985,1.35727560520172
drape,3.713300667,484861,2,0,1.506379633,-0.097114935,-0.494953453,3.94199061393738,1.32933628559113
louse,3.713033195,178544,3,0,1.900547968,1.179193543,-1.195999102,3.77398777008057,1.34956848621368
yearn,3.712451942,300957,2,0,1.504503466,-0.098344603,-0.497183627,3.94378447532654,1.3284285068512
urine,3.71082016,4903932,3,0,1.905584837,1.209821453,-1.132946226,3.79264354705811,1.34002840518951
coral,3.70841687,8818272,2,0,1.51349924,-0.043140932,-0.383522395,3.82894110679626,1.28618621826172
tonal,3.708077436,707113,2,0,1.497416279,-0.095880736,-0.490762696,3.94289588928223,1.32440030574799
ratio,3.707402843,26457942,3,0,1.940559778,1.349794309,-0.846939842,3.85267663002014,1.31713128089905
slide,3.706695006,22339084,2,0,1.536197087,0.044680923,-0.204211787,3.71669411659241,1.32034575939178
snort,3.705623718,1522943,1,0,1.099329303,-1.36898684,0.217675752,4.13675594329834,1.38336861133575
tribe,3.703593831,7890695,2,0,1.503061696,-0.049365,-0.394641198,3.84026169776917,1.28339815139771
since,3.703419882,214302926,2,0,1.896502949,1.292398808,2.336511714,3.50077676773071,1.00900149345398
clean,3.70270973,45381752,2,0,1.572991054,0.194307821,0.101627472,3.7940936088562,1.47516226768494
resin,3.70221047,4966700,2,0,1.494997645,-0.068428021,-0.432998506,3.87429714202881,1.29061806201935
arson,3.70179813,989351,2,0,1.486669349,-0.09429917,-0.485525495,3.94388651847839,1.31849205493927
spore,3.70081666,589081,2,0,1.484141867,-0.096940663,-0.490586713,3.94694399833679,1.3168283700943
inert,3.700744532,935898,2,0,1.484673827,-0.094689106,-0.485980595,3.94471144676209,1.31733250617981
lager,3.699471599,1050146,2,0,1.482604021,-0.093997753,-0.484164292,3.94453978538513,1.31623005867004
snail,3.698156689,1580640,2,0,1.481252805,-0.090602308,-0.476830449,3.94049191474915,1.31483948230743
cedar,3.697966801,9484993,2,0,1.495989952,-0.039228171,-0.372199788,3.82736587524414,1.27448034286499
curse,3.697813257,3982181,2,0,1.485216782,-0.075005072,-0.444972641,3.89461636543274,1.29428339004517
talon,3.697687599,858061,2,0,1.479031347,-0.095318299,-0.486278874,3.94659996032715,1.31409764289856
salon,3.696110029,10079006,2,0,1.493786058,-0.035441666,-0.363895821,3.82244849205017,1.27139353752136
baler,3.696101584,153800,2,0,1.474837465,-0.099960236,-0.495217617,3.9519157409668,1.31131362915039
caper,3.695791494,485193,2,0,1.474912331,-0.097818534,-0.490758629,3.94989132881165,1.31155037879944
triad,3.694801137,1519533,2,0,1.475105553,-0.091134786,-0.4768359,3.94358158111572,1.31226658821106
their,3.692754498,782849411,2,0,2.961899378,4.98777259,9.861698489,3.54284334182739,1.09111499786377
stage,3.691194683,52518330,2,0,1.565909719,0.240234589,0.198809863,3.84013986587524,1.49203336238861
petal,3.691040752,895903,2,0,1.467157651,-0.095340229,-0.484187399,3.9493522644043,1.30740880966187
enact,3.690238842,1263603,2,0,1.466417865,-0.09298234,-0.479130314,3.9473123550415,1.30720627307892
inlet,3.688674398,3433125,2,0,1.467744806,-0.078942547,-0.450050207,3.91330814361572,1.29284560680389
price,3.686842623,501651226,2,0,2.414858149,3.159621689,6.142483383,3.3047354221344,0.855930626392365
cruel,3.68675979,4180956,2,0,1.465730395,-0.074158488,-0.439697179,3.90063142776489,1.28524053096771
early,3.685543829,100013194,2,0,1.6463555,0.548744443,0.828583164,3.62873148918152,1.4180428981781
trash,3.685420952,7092806,1,0,1.073645496,-1.333594596,0.296207609,4.01217222213745,1.28082823753357
laden,3.684110198,5964620,2,0,1.464371013,-0.062670682,-0.415462785,3.86985492706299,1.26927518844605
smear,3.684000264,1289528,2,0,1.455255189,-0.09306528,-0.477294227,3.94995880126953,1.30091202259064
nurse,3.683243711,16772151,2,0,1.483430286,0.007548124,-0.272257248,3.76249241828918,1.27679991722107
poise,3.683161327,339263,3,0,1.847168071,1.179034217,-1.186723406,3.81925535202026,1.38173842430115
merit,3.678479851,6450895,2,0,1.455179633,-0.059736627,-0.407681215,3.86810183525085,1.2630523443222
relay,3.677430278,9275052,2,0,1.4586807,-0.041420663,-0.37006263,3.83959722518921,1.257364153862
baste,3.676213231,95369,2,0,1.438982144,-0.10114172,-0.491230902,3.96127390861511,1.29101312160492
islet,3.676210044,488105,2,0,1.439725603,-0.098588891,-0.486033714,3.95870995521545,1.29166388511658
inter,3.676165584,15269346,2,0,1.46784253,-0.002506077,-0.290447386,3.7817211151123,1.26787173748016
tease,3.675582116,2019275,3,1,0.521887475,2.032217399,-1.357323868,3.81978559494019,1.33992099761963
space,3.67309655,121505269,2,0,1.664983412,0.687950716,1.115931186,3.50887060165405,1.23001348972321
spite,3.673032404,4493143,2,0,1.441654715,-0.072682456,-0.43228118,3.90684628486633,1.27345728874207
ramen,3.67030617,373754,2,0,1.428896873,-0.099570195,-0.486133771,3.96212196350098,1.28547620773315
heist,3.670190788,419629,2,0,1.428777017,-0.099276638,-0.485499169,3.96187448501587,1.28543484210968
reach,3.6692815,35687918,2,0,1.494420936,0.129946192,-0.018634679,3.81514120101929,1.41607069969177
onset,3.669268509,3858839,2,0,1.433680143,-0.076957427,-0.43977307,3.92239379882813,1.27632009983063
dance,3.669242021,51147967,2,0,1.523841715,0.230441759,0.185932,3.88473153114319,1.50135254859924
those,3.66795135,270014141,2,0,1.939033224,1.653116693,3.082134581,3.49273228645325,1.00043094158173
safer,3.667892877,5085040,2,0,1.433546933,-0.069042026,-0.423219556,3.90004944801331,1.26499271392822
slope,3.667167957,6469975,2,0,1.434886004,-0.060068556,-0.404721511,3.87895441055298,1.25579655170441
cried,3.667006949,4352198,2,0,1.430556744,-0.073841534,-0.432704013,3.91491937637329,1.27063798904419
erase,3.666109344,3086642,3,1,0.506898887,2.03877393,-1.34093407,3.82903146743774,1.34626376628876
tapir,3.666044502,86809,2,0,1.420690315,-0.101607243,-0.488910503,3.96592020988464,1.28066897392273
pause,3.663738405,4606318,3,0,1.820400571,1.205989066,-1.125616088,3.85865879058838,1.38651216030121
sedan,3.663394337,4769270,2,0,1.424859677,-0.071275998,-0.426320992,3.91012811660767,1.26466310024261
chase,3.662258239,10971945,2,0,1.434650133,-0.03100166,-0.343979364,3.83202910423279,1.2485945224762
feast,3.661933687,4166016,2,0,1.421083786,-0.075256291,-0.433953279,3.92301464080811,1.26883566379547
peril,3.660297549,1258951,2,0,1.412597733,-0.094219449,-0.472026083,3.96085667610168,1.27678298950195
outer,3.660263815,11245167,3,0,1.826820279,1.249004469,-1.036943626,3.88839340209961,1.37988817691803
haute,3.658965558,1863024,3,0,1.806589556,1.187964059,-1.16077128,3.84857654571533,1.38546371459961
utile,3.657718357,287546,3,0,1.801342658,1.177672483,-1.181318482,3.84184789657593,1.38529121875763
stein,3.656975615,3893544,2,0,1.411653243,-0.077227329,-0.436371846,3.93266797065735,1.26784062385559
slime,3.656420222,869502,2,0,1.404886385,-0.096907326,-0.476251065,3.96515035629272,1.27219593524933
tilde,3.655625187,344748,2,0,1.402456502,-0.100350506,-0.483003992,3.96893787384033,1.27051424980164
grade,3.65560725,54275130,2,0,1.505302361,0.250220113,0.230571749,3.89551639556885,1.50116240978241
stain,3.655411454,3512824,2,0,1.408115827,-0.079765225,-0.441034936,3.94138145446777,1.27002167701721
shine,3.655047687,5881862,2,0,1.411981254,-0.064380093,-0.409602319,3.89967203140259,1.25148212909698
spiel,3.653878922,811922,2,0,1.400209256,-0.097384056,-0.476404722,3.96667408943176,1.26951861381531
agile,3.653818439,1808955,3,0,1.797235879,1.187405117,-1.160254837,3.8515510559082,1.38398802280426
shalt,3.653210259,1854326,1,0,1.005762641,-1.368945377,0.234604391,4.07204055786133,1.29440605640411
FALSE,3.652498465,33476460,2,0,1.460039437,0.114894249,-0.043878594,3.84275364875793,1.40576124191284
hotel,3.65046988,297974790,2,0,1.960953071,1.834168641,3.456275354,3.49002742767334,0.95371800661087
chore,3.647851746,565322,2,0,1.388906644,-0.099230008,-0.478225101,3.9710054397583,1.26298463344574
penal,3.647577586,1467202,2,0,1.390134351,-0.093378439,-0.466226402,3.96523857116699,1.26420879364014
regal,3.646927156,2236787,2,0,1.390433449,-0.088402014,-0.455888092,3.96050548553467,1.26482963562012
farce,3.646567518,727546,2,0,1.386908057,-0.098227244,-0.475771308,3.97052526473999,1.2619503736496
eclat,3.645216678,123738,2,0,1.383328462,-0.102206713,-0.483437206,3.97507929801941,1.25957262516022
shone,3.644552031,704369,2,0,1.383241559,-0.098459145,-0.475595609,3.97158598899841,1.25986468791962
water,3.644179359,215178488,2,0,1.791704595,1.295702491,2.362274478,3.57330894470215,1.04984140396118
trend,3.643666272,15747018,1,0,1.015111772,-1.27902143,0.420707522,3.81057286262512,1.11637258529663
brine,3.643088104,816003,2,0,1.380823507,-0.097792482,-0.473768183,3.97151803970337,1.25856339931488
cable,3.642790687,70082598,2,0,1.512422577,0.352459041,0.442793159,3.84650897979736,1.5102858543396
poser,3.642685902,1361002,2,0,1.381140305,-0.09426596,-0.466460855,3.96813941001892,1.25906205177307
heard,3.642124369,45436523,2,0,1.464209974,0.192221792,0.116851925,3.8954062461853,1.47459506988525
teach,3.64207913,19079783,2,0,1.413850308,0.020889498,-0.231872347,3.79399394989014,1.26860773563385
anode,3.641478267,768949,3,0,1.77307388,1.180147212,-1.171062169,3.85434198379517,1.38055908679962
scone,3.640954143,213031,2,0,1.375838062,-0.101798082,-0.481235597,3.97642040252686,1.25539171695709
plait,3.640403183,103227,2,0,1.374638399,-0.102534065,-0.482556591,3.97738552093506,1.25464928150177
afire,3.6395199,113772,3,0,1.768304432,1.175809334,-1.17926235,3.85244846343994,1.38007295131683
borne,3.639030333,3379421,2,0,1.378420777,-0.081292691,-0.43887958,3.9566764831543,1.25850093364716
lease,3.637987193,17180592,3,1,0.483242786,2.129257297,-1.147721755,3.91625881195068,1.35974431037903
grape,3.637883256,3638159,2,0,1.376852792,-0.079657016,-0.435181601,3.95469188690186,1.25693738460541
timer,3.637229028,7488669,2,0,1.383022264,-0.054653368,-0.384077602,3.89481353759766,1.23961651325226
taker,3.635360323,625940,2,0,1.366572375,-0.099339466,-0.474433499,3.97624731063843,1.25039672851563
drain,3.635319933,6411642,2,0,1.377536643,-0.061731471,-0.397871218,3.91223955154419,1.24164867401123
satyr,3.634523889,136838,1,0,0.968902723,-1.380863016,0.216351883,4.08257675170898,1.28571033477783
metal,3.634484474,56181783,2,0,1.470977116,0.261762788,0.260854598,3.90184497833252,1.49469196796417
droit,3.634345914,750988,2,0,1.364987795,-0.098567487,-0.47253617,3.97588849067688,1.24957478046417
smart,3.633531383,36636558,1,0,1.03674617,-1.143638694,0.699529777,3.48513793945313,0.97435849905014
grant,3.632979494,47609624,1,0,1.056686623,-1.072331156,0.844850273,3.37175464630127,0.92471307516098
write,3.632551034,126645151,2,0,1.601918859,0.719727921,1.193642402,3.52655506134033,1.17561852931976
tiger,3.632488903,13763074,2,0,1.386472304,-0.014058024,-0.299924347,3.82192802429199,1.23105883598328
acute,3.630209609,11128841,3,0,1.772584186,1.247036878,-1.031289969,3.91081428527832,1.37608659267426
polar,3.628964893,7715471,2,0,1.3686024,-0.053512164,-0.37909887,3.90014219284058,1.23620283603668
delta,3.628687492,28051872,2,0,1.406897753,0.078672258,-0.109954558,3.84871172904968,1.34417402744293
diner,3.628368484,2261961,2,0,1.357127351,-0.088986432,-0.451113401,3.96874141693115,1.24594640731812
bleat,3.627301166,144793,2,0,1.351170411,-0.102791982,-0.478870941,3.98302817344666,1.24140858650208
smile,3.625521804,13893537,2,0,1.374199728,-0.013490785,-0.296530725,3.82457566261292,1.22608911991119
crime,3.623262676,40361756,2,0,1.420630584,0.158473287,0.054220063,3.90301203727722,1.44629240036011
skate,3.623178589,4932092,2,0,1.352893505,-0.071838592,-0.414541892,3.9460620880127,1.24116194248199
smite,3.622449649,270393,2,0,1.342690735,-0.10217108,-0.476047981,3.98439741134644,1.23668968677521
forte,3.622435835,1795408,2,0,1.345575042,-0.092258365,-0.455866677,3.97446298599243,1.23915433883667
wrote,3.617781981,56421594,2,0,1.441416434,0.262648424,0.268024991,3.90987682342529,1.48714756965637
argue,3.617617484,8353605,3,0,1.74465923,1.228489055,-1.064996427,3.9054901599884,1.37279093265533
elate,3.616900064,16161,3,1,0.41260143,2.016830925,-1.369783514,3.86784839630127,1.40379667282105
artsy,3.616658716,333481,1,0,0.937170094,-1.380304855,0.223229366,4.05898714065552,1.25433790683746
actor,3.615412427,16282891,2,0,1.360588849,0.001633586,-0.262496905,3.81974673271179,1.23265838623047
camel,3.613909503,11005001,2,0,1.347819603,-0.032735614,-0.331970793,3.86860704421997,1.22279965877533
remit,3.61282234,1111713,2,0,1.326993199,-0.097090184,-0.462612104,3.98327159881592,1.22823929786682
terse,3.612495806,287692,2,1,0.009970585,0.740108015,-0.668080056,4.69119024276733,1.46839034557343
scant,3.611552258,543285,1,0,0.928392862,-1.379146867,0.227227472,4.04943227767944,1.24344444274902
cutie,3.611171799,3305791,3,0,1.723445623,1.195416219,-1.13024316,3.88547134399414,1.37153351306915
sober,3.61056087,1672710,2,0,1.32399899,-0.09353461,-0.454648127,3.98073077201843,1.22657454013824
shade,3.609354243,6996835,2,0,1.331986759,-0.058974079,-0.383914017,3.93081045150757,1.23124241828918
slept,3.606242215,2370802,1,0,0.922335706,-1.367481234,0.25267882,4.00751733779907,1.21076917648315
chart,3.605861098,35027490,1,0,0.983946952,-1.155213677,0.684861912,3.50170421600342,0.972482860088348
grail,3.604729833,1122474,2,0,1.312469667,-0.097346424,-0.46053296,3.98693990707397,1.21978378295898
motel,3.6041122,9170238,2,0,1.32671163,-0.045057293,-0.353902408,3.90508890151978,1.22400760650635
purse,3.602585544,5488891,2,0,1.316945313,-0.069049213,-0.402246206,3.9594612121582,1.23267710208893
stead,3.600942518,724786,2,0,1.304904373,-0.10008423,-0.464888497,3.99123096466064,1.21532356739044
phase,3.599270867,40722940,2,0,1.378200888,0.159854085,0.064740919,3.94605469703674,1.45053005218506
