Word,Number of reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),mu,sigma,,
eject,22628,2200,0,2,11,35,36,14,2,4.55,0.997474747,2,1
undue,23739,2316,0,3,19,35,29,13,2,4.4,1.185454545,3,1
tepid,26051,2484,0,10,38,35,13,3,0,3.57,0.886516162,2,0
happy,25206,2356,0,6,28,39,19,6,1,3.9,1.048383838,1,1
itchy,24197,2329,0,8,28,40,18,5,1,3.87,1.063737374,1,0
feast,27705,2725,5,13,25,27,19,10,2,3.83,1.967463636,2,0
drive,26663,2451,1,12,32,30,18,6,1,3.74,1.345858586,2,0
prime,27437,2534,1,10,26,32,21,9,1,3.93,1.419292929,2,0
axiom,24288,2382,0,5,19,33,27,13,3,4.33,1.354646465,3,0
brave,24991,2396,1,6,17,27,27,18,5,4.5,1.75,2,0
avert,24749,2400,0,7,26,35,22,9,1,4.03,1.221313131,2,0
glyph,29208,2899,0,2,23,49,20,5,1,4.06,0.804444444,0,0
there,27465,2530,0,14,35,33,14,4,0,3.59,1.052424242,2,1
baker,25576,2541,0,5,16,23,24,22,10,4.72,1.88040404,2,0
snarl,27475,2650,0,5,21,31,24,15,4,4.35,1.502525253,1,0
maple,26536,2467,1,6,26,36,21,8,1,3.95,1.223712121,2,0
inane,25085,2515,0,8,25,30,21,13,3,4.15,1.563131313,3,1
valet,24660,2356,0,4,22,38,25,9,1,4.12,1.066521212,2,0
medal,25993,2438,0,5,25,38,23,8,1,4.07,1.096060606,2,0
unite,27467,2575,1,11,31,33,18,5,1,3.75,1.26010101,3,0
rainy,28984,2678,1,16,38,31,11,3,1,3.51,1.164748485,2,0
spell,27213,2531,0,4,24,37,24,9,1,4.09,1.085473737,1,1
begin,26096,2439,0,6,26,36,23,7,1,3.98,1.112319192,2,0
stale,31068,3013,2,19,30,27,15,6,2,3.63,1.661483838,2,0
dream,29743,2751,5,14,31,29,15,4,1,3.48,1.503531313,2,0
photo,27330,2565,0,5,34,43,15,3,0,3.77,0.764747475,2,1
aloud,29554,2819,1,18,31,30,15,4,1,3.56,1.33979798,3,0
inept,27670,2640,0,6,30,39,20,6,1,4.01,1.082325253,2,0
piney,27502,3667,0,1,14,37,33,14,2,4.55,1.004570707,2,0
aptly,26498,2572,0,3,26,41,23,7,1,4.12,0.98519596,1,0
waltz,24672,2496,0,2,11,29,35,19,3,4.63,1.130031313,1,0
libel,25156,2536,0,3,15,32,32,16,2,4.49,1.181717172,2,1
sneak,27905,2636,0,7,28,36,21,7,1,3.96,1.14989899,2,0
carry,27609,2615,0,4,22,35,24,12,3,4.27,1.31020202,1,1
flout,30063,2904,0,6,28,37,21,7,1,3.98,1.110707071,2,0
foggy,28953,2817,0,2,13,35,32,15,3,4.54,1.11959596,1,1
fault,28947,2768,0,7,27,35,22,8,1,4,1.191919192,2,0
mummy,29279,3021,0,1,4,14,27,37,18,5.53,1.267584848,1,3
spiel,29084,2810,0,7,32,36,19,6,1,3.92,1.118448485,2,0
grove,28637,2794,0,4,18,30,28,17,3,4.45,1.381313131,2,0
denim,28741,2769,0,5,29,40,20,5,0,3.87,0.892253535,2,0
quirk,28322,2794,0,3,23,39,24,9,2,4.19,1.104949495,2,0
exist,28612,2805,0,5,24,38,23,8,1,4.04,1.086044444,2,0
stein,31269,2965,1,12,34,32,16,5,1,3.72,1.272711111,2,0
spade,30459,2854,1,8,29,36,19,6,1,3.86,1.212525253,2,0
catch,30403,3123,0,7,18,20,15,16,23,4.8,2.635959596,1,1
floor,28906,2752,0,3,23,44,24,6,0,4.07,0.833434343,2,1
equal,27197,2677,0,5,23,35,25,11,2,4.24,1.274925253,3,0
ionic,29151,2947,0,2,13,25,28,21,11,4.86,1.596363636,3,1
valid,28575,2752,0,4,28,38,21,8,1,4.04,1.069090909,2,0
enjoy,26878,2654,0,3,12,29,33,20,3,4.64,1.242828283,2,0
howdy,28408,2668,0,2,13,32,32,17,4,4.61,1.21,1,0
vigor,26905,2642,0,2,15,35,31,14,2,4.42,1.079026263,2,0
dandy,29026,2840,0,2,11,23,29,24,11,4.95,1.542929293,1,1
sloth,32522,2987,1,10,38,34,13,3,0,3.54,0.952610101,1,0
march,30935,2885,0,9,30,35,19,6,1,3.86,1.172121212,1,0
bough,32014,3060,0,3,17,35,28,13,3,4.36,1.212428283,2,0
sting,32288,2969,1,10,30,33,18,8,2,3.95,1.474292929,1,0
twine,30088,2775,0,6,28,40,20,5,1,3.93,1.015252525,2,0
leave,28202,2696,0,4,16,34,31,12,1,4.26,1.100452525,3,1
scorn,31223,2859,0,8,31,35,20,6,1,3.92,1.158852525,1,0
scald,30477,2829,0,4,23,36,24,11,2,4.21,1.218080808,1,0
usurp,31355,3007,0,3,21,38,26,9,1,4.12,1.016274747,2,1
soggy,30985,2888,0,2,18,38,28,11,2,4.3,1.055656566,1,1
brisk,31706,2884,0,5,23,38,24,7,1,4,1.050505051,1,0
admit,28994,2677,0,10,25,34,22,8,1,3.96,1.291313131,2,0
grate,32777,3077,1,14,29,28,16,8,3,3.77,1.671687879,2,0
glory,31509,2893,0,6,30,39,19,5,0,3.83,0.923647475,1,0
saint,34455,3119,1,14,35,29,15,5,1,3.62,1.308686869,2,0
recap,31976,2900,0,5,30,35,21,8,1,4,1.131313131,2,0
alike,31277,2843,0,6,20,33,27,12,2,4.25,1.320707071,3,0
trice,35050,3430,0,5,24,25,18,17,11,4.51,2.05040404,2,0
stick,33102,3038,1,9,36,35,14,4,0,3.61,0.997554545,1,0
chute,33418,3073,0,11,37,36,12,3,0,3.55,0.890378788,2,0
parer,37309,4130,0,0,4,11,15,22,48,5.99,1.444343434,2,1
doubt,33344,3011,1,12,32,34,16,4,0,3.61,1.098564646,2,0
thyme,32142,2938,1,5,24,41,23,5,0,3.92,0.969632323,1,0
alpha,29497,2706,0,3,19,40,28,9,1,4.24,0.992323232,2,1
booze,29147,2883,0,1,7,27,38,23,4,4.87,1.023333333,3,1
tibia,27887,2675,0,1,14,40,30,12,2,4.4,0.955959596,3,1
lofty,29237,2777,0,4,19,34,27,13,3,4.35,1.300505051,1,0
theme,32172,2909,0,8,29,40,18,4,0,3.77,0.924213131,2,1
class,31962,3001,0,4,21,32,22,13,7,4.36,1.596266667,1,1
leery,30992,2873,0,3,17,37,28,12,2,4.31,1.119332323,2,1
taunt,32734,3022,0,4,19,27,21,16,13,4.65,1.967171717,2,1
whoop,32733,2970,0,1,16,47,29,7,1,4.32,0.792145455,2,1
inter,32018,2889,0,6,25,36,23,8,1,4.01,1.14050404,2,0
gully,31191,2877,0,1,9,27,31,25,7,4.91,1.254444444,1,1
charm,35724,3149,1,12,32,34,16,5,1,3.74,1.264925253,1,0
fungi,31903,2928,0,2,18,41,28,9,1,4.23,0.927445455,2,0
prize,35343,3166,0,5,12,20,32,26,5,4.77,1.552626263,2,0
onset,33660,3009,0,4,29,40,21,6,1,4.03,1.001524242,2,0
chief,34281,3072,1,6,32,38,18,5,0,3.81,1.003939394,2,0
gauze,30214,2866,0,2,11,24,31,25,8,4.94,1.434783838,3,0
ruder,31241,2784,0,2,16,33,29,16,4,4.53,1.261717172,2,1
irony,34716,3046,0,6,29,34,21,8,1,3.95,1.163106061,2,0
clown,36737,3175,1,8,29,36,20,6,1,3.91,1.227051515,1,0
needy,33700,2927,0,2,21,41,26,9,1,4.22,0.961212121,2,1
woven,33549,2933,0,2,13,32,32,17,3,4.54,1.153822222,2,0
merit,35888,3123,0,7,33,37,17,5,0,3.76,0.950529293,2,0
waste,35617,3186,1,7,19,27,24,17,5,4.37,1.811212121,2,0
treat,38245,3249,1,22,32,26,14,5,1,3.52,1.468185859,2,1
shrug,33965,2987,0,4,23,36,26,10,1,4.18,1.118787879,1,0
twang,34938,3172,0,3,22,43,25,7,1,4.18,0.951842424,1,0
twice,35815,3173,1,6,28,38,21,6,1,3.97,1.158291919,2,0
gruel,35105,3087,0,3,19,39,29,9,1,4.25,0.997474747,2,0
poker,35376,3180,0,4,17,30,27,17,5,4.51,1.484747475,2,0
khaki,31652,2968,0,2,17,33,28,16,4,4.51,1.282727273,2,1
hunky,35276,3185,0,1,11,33,25,22,7,4.73,1.326637374,1,0
label,34198,3076,0,4,18,32,29,15,2,4.39,1.270606061,2,1
glean,37301,3243,0,6,23,37,24,8,1,4.04,1.126448485,2,0
cling,37654,3312,0,4,20,34,27,13,2,4.31,1.246363636,1,0
patty,36223,3019,0,2,16,39,29,12,1,4.32,0.980783838,1,1
unfit,35516,3187,0,3,24,38,25,9,1,4.16,1.044848485,2,0
smear,36223,3190,0,2,16,39,29,12,2,4.39,1.048383838,2,0
alien,38841,3395,3,17,31,29,15,4,0,3.45,1.321691919,3,0
buggy,37350,3428,0,1,9,29,34,22,5,4.82,1.138989899,1,1
rhyme,37229,3336,0,4,22,39,25,8,1,4.1,1.032222222,1,0
youth,38381,3327,1,5,17,31,29,15,3,4.42,1.49390303,2,0
coyly,34909,3380,0,0,4,17,28,35,15,5.35,1.13260101,1,1
quart,36662,3303,0,5,20,33,27,13,2,4.29,1.298888889,2,0
cramp,39250,3369,1,8,26,33,19,10,2,3.96,1.456145455,1,0
bluff,37353,3171,0,2,14,42,31,10,1,4.36,0.899393939,1,1
upset,37791,3213,0,5,30,38,20,6,1,3.95,1.037878788,2,0
stomp,40650,3490,0,7,26,32,21,11,2,4.05,1.377247475,1,0
motto,38384,3285,0,1,11,36,36,14,1,4.5,0.876262626,2,2
cinch,39171,3507,0,2,15,24,22,25,13,4.96,1.802440404,1,1
elope,39228,3339,0,4,22,32,26,13,2,4.24,1.275377778,3,1
power,39813,3401,2,6,19,29,24,15,4,4.25,1.744318182,2,0
midge,36769,3111,0,2,18,39,28,10,2,4.28,1.02870303,2,0
tryst,43099,3665,0,3,26,41,23,6,1,4.06,0.945858586,0,1
aphid,39086,3367,0,6,24,36,23,9,2,4.11,1.25040404,2,0
trite,42237,3685,0,4,14,22,22,23,15,4.91,1.981717172,2,1
angry,39667,3358,0,5,27,38,21,7,1,3.97,1.062112121,1,0
flock,42574,3548,0,4,22,37,27,9,1,4.18,1.078383838,1,0
wacky,39611,3345,0,3,18,39,27,10,2,4.25,1.077651515,1,0
roomy,38769,3280,0,2,17,41,28,10,2,4.33,1.011212121,2,1
wedge,39234,3353,0,2,11,32,37,17,2,4.66,1.052076768,2,1
liver,40549,3388,0,4,16,26,25,20,8,4.61,1.68220101,2,0
bland,46246,3727,0,7,31,38,18,4,0,3.73,0.907921212,1,0
night,46910,3870,1,8,27,27,17,13,7,4.18,1.987474747,1,0
madam,40545,3430,0,3,13,35,34,14,2,4.53,1.105362626,2,2
berth,41785,3494,0,7,24,35,24,9,1,4.07,1.217272727,1,0
stead,47094,3933,1,6,20,27,28,16,3,4.38,1.623680808,2,0
voice,42806,3484,1,5,24,35,25,9,1,4.09,1.234242424,3,0
agape,43407,3671,0,2,18,36,27,15,3,4.48,1.222529293,3,1
fluff,47344,4049,0,0,4,25,44,23,4,4.98,0.807676768,1,3
field,44578,3604,1,6,25,36,23,9,1,4.08,1.272791919,2,0
sever,42645,3591,0,2,13,27,29,21,7,4.71,1.418241414,2,1
lilac,40486,3461,0,2,17,38,29,12,1,4.31,0.998120202,2,1
egret,41765,3515,0,3,14,33,33,15,2,4.49,1.141313131,2,1
pinto,47248,3792,0,5,25,41,22,6,1,4.02,1.00969697,2,0
hutch,44212,3758,0,1,12,28,28,21,9,4.79,1.410564646,1,1
gawky,45645,3957,0,1,5,22,33,28,10,5.08,1.187410101,1,0
droll,47312,3844,0,2,16,31,31,17,3,4.54,1.220606061,1,1
retro,47986,3848,0,6,24,35,24,9,1,4.05,1.175227273,2,1
rusty,50450,3954,0,9,37,34,13,5,1,3.67,1.077182828,1,0
beady,46089,3670,0,3,19,39,29,10,1,4.31,1.029960606,2,0
smite,50617,3991,0,6,23,35,24,11,2,4.21,1.31630404,2,0
brink,53111,4118,0,4,22,41,24,7,1,4.07,0.989344444,1,0
awful,47645,3861,0,5,21,33,27,12,2,4.26,1.285252525,2,0
gloat,53342,4194,0,8,21,31,26,12,2,4.19,1.428181818,2,0
input,50484,3950,0,5,30,38,21,6,1,4,1.050505051,2,0
loser,55359,4399,1,10,28,32,19,8,2,3.9,1.464646465,2,0
cacao,47205,4101,0,1,9,27,36,23,4,4.83,1.092020202,3,2
blown,54665,4251,0,6,23,35,26,10,1,4.18,1.214468687,1,0
apron,53430,4112,0,7,30,38,19,5,1,3.88,1.056161616,2,0
primo,55989,4391,0,3,22,38,25,10,2,4.23,1.128383838,2,0
atone,59968,4762,2,16,34,29,14,4,1,3.53,1.342525253,3,0
donor,53802,4142,0,3,27,38,23,7,1,4.03,0.996657576,2,1
float,56684,4323,1,12,30,32,18,6,1,3.76,1.335757576,2,0
goose,51958,4087,0,2,12,28,32,21,5,4.73,1.29,3,1
piety,55376,4324,0,4,25,41,22,7,1,4.06,1.006464646,2,0
girth,60020,4665,0,6,23,33,23,12,3,4.21,1.42010101,1,0
trait,61026,4607,0,6,22,35,24,11,2,4.18,1.300606061,2,1
flood,58991,4440,0,3,20,40,28,8,1,4.21,0.975656566,2,1
gloom,58478,4548,0,2,14,35,35,13,1,4.46,0.978181818,2,1
depth,56738,4329,0,6,28,39,20,6,1,3.95,1.058080808,1,0
froth,58263,4432,0,5,22,35,25,11,1,4.14,1.180812121,1,0
peach,65431,4957,1,13,38,32,13,3,0,3.52,1.01979798,2,0
showy,61278,4770,0,2,16,37,30,13,2,4.42,1.074343434,1,0
creak,63241,4797,0,5,21,32,25,14,3,4.31,1.407979798,2,0
manor,62768,4802,0,6,27,34,21,10,2,4.08,1.306666667,2,0
atoll,60969,4741,0,6,28,36,21,8,1,4,1.151515152,2,1
bayou,56839,4435,0,6,17,33,29,13,2,4.32,1.310707071,3,0
crept,60069,4562,0,4,27,38,22,7,1,4,1.03030303,1,0
tiara,63846,4842,0,8,36,33,17,6,1,3.84,1.153389899,3,1
asset,63188,4733,0,7,28,34,21,8,1,3.94,1.193094949,2,1
vouch,62723,4835,0,2,9,25,33,24,6,4.82,1.267955556,2,0
album,63380,4809,0,5,26,35,24,9,1,4.09,1.153434343,2,0
hinge,66431,4906,0,5,25,37,22,9,2,4.11,1.21,2,0
money,67909,4928,1,7,26,36,21,8,1,3.97,1.261717172,2,0
scrap,66814,4973,1,9,28,34,20,8,1,3.94,1.345086869,1,0
gamer,69884,5238,1,4,17,28,26,18,6,4.52,1.686464646,2,0
glass,70920,5162,0,4,19,33,27,14,3,4.37,1.326363636,1,1
scour,73933,5544,0,8,34,35,17,5,1,3.8,1.090909091,2,0
being,70722,5142,0,4,22,37,26,10,1,4.19,1.104949495,2,0
delve,68349,5179,0,2,14,32,33,16,2,4.49,1.099291919,2,1
yield,67115,4963,0,4,16,29,29,18,4,4.53,1.423333333,2,0
metal,73225,5290,1,10,31,34,18,7,1,3.89,1.333880808,2,0
tipsy,77585,5522,0,6,33,38,17,5,1,3.85,1.017676768,1,0
slung,75673,5419,0,2,16,37,31,13,2,4.47,1.079706061,1,0
farce,79446,5688,0,9,26,32,21,9,1,3.9,1.298787879,2,0
gecko,74412,5489,0,2,16,38,29,12,2,4.35,1.048762626,2,0
shine,88932,6146,1,14,32,30,17,6,1,3.73,1.390130303,2,0
canny,72518,5256,0,2,10,30,34,20,4,4.72,1.173333333,1,1
midst,74458,5233,0,3,25,39,24,9,1,4.18,1.052852525,1,0
badge,76292,5482,0,4,20,35,26,12,2,4.24,1.214771717,2,0
homer,85979,6313,0,3,16,26,24,19,12,4.76,1.80040404,2,0
train,107750,7243,6,26,32,22,10,3,0,3.1,1.387777778,2,0
hairy,85817,5941,1,8,24,33,23,10,1,4.03,1.382929293,2,0
story,95643,6530,1,10,23,29,24,11,2,4.06,1.592323232,1,0
forgo,77658,5699,0,1,9,26,37,23,3,4.77,1.039970707,2,1
larva,77991,5749,0,2,10,25,35,23,4,4.75,1.193813131,2,1
zesty,88974,6315,0,2,12,27,30,22,7,4.79,1.39989899,1,0
shown,98967,6564,0,6,26,36,22,8,1,3.99,1.142120202,1,0
heist,103153,6830,1,13,32,31,16,6,1,3.7,1.343434343,2,0
askew,91548,6549,0,3,13,29,32,19,4,4.63,1.306161616,2,0
inert,97452,6743,0,7,27,34,22,9,1,4.02,1.231919192,2,0
olive,95562,6482,1,6,25,34,23,10,1,4.06,1.309494949,3,0
plant,119232,7731,2,19,39,28,10,3,0,3.37,1.117847475,1,0
oxide,97955,6960,0,2,11,30,33,21,4,4.76,1.221187879,3,0
cargo,102007,6796,0,5,20,34,27,12,2,4.27,1.26979798,2,0
foyer,108899,8198,0,2,10,19,19,23,26,5.25,1.971590909,2,0
flair,112383,7341,1,8,30,36,18,6,1,3.84,1.206464646,2,0
ample,106681,7008,0,4,20,35,27,11,2,4.23,1.190071717,2,0
cheek,107987,7035,0,3,19,40,28,9,1,4.24,0.992323232,2,1
shame,129991,8522,1,11,22,25,21,15,5,4.19,1.993838384,2,0
mince,113448,7356,0,6,24,35,24,10,1,4.11,1.21,2,0
chunk,123255,7835,1,4,29,42,18,5,1,3.91,1.012020202,1,0
royal,114907,7275,1,5,24,36,23,9,1,4.03,1.218879798,2,0
squad,109828,7236,0,3,20,33,27,14,2,4.31,1.220342424,2,0
black,126241,7894,1,10,31,34,18,6,1,3.83,1.280594949,1,0
stair,134210,8537,2,21,36,26,11,4,1,3.42,1.374307071,2,0
scare,141158,9010,1,12,23,26,21,13,4,4.09,1.900909091,2,0
foray,117761,7575,0,2,14,31,31,19,4,4.67,1.271908081,2,0
comma,117856,7560,0,2,13,33,33,17,3,4.63,1.159059596,2,1
natal,121356,7702,0,2,14,32,32,17,3,4.57,1.176868687,2,1
shawl,129651,7943,0,3,16,31,30,16,3,4.45,1.26209596,1,0
fewer,124532,7931,0,2,10,24,32,26,6,4.88,1.318787879,2,1
trope,155079,9315,1,16,33,28,15,6,1,3.62,1.40969697,2,0
snout,144648,8913,1,4,19,27,26,18,5,4.47,1.665757576,2,0
lowly,135219,8469,0,2,9,26,32,24,8,4.95,1.366186869,1,1
stove,158139,9318,0,5,16,24,27,21,6,4.57,1.652778788,2,0
shall,149070,8494,0,3,17,30,28,17,4,4.47,1.362920202,1,1
found,173696,10613,1,6,17,22,20,21,14,4.76,2.31209697,2,0
nymph,165468,9935,1,2,18,44,26,26,9,5.84,3.820056566,0,0
epoxy,149507,9376,0,2,13,31,33,18,3,4.61,1.16959596,2,0
depot,150197,8562,0,5,29,36,20,7,1,3.9,1.076565657,2,0
chest,169066,9318,1,14,35,31,14,5,1,3.65,1.293661616,1,0
purge,156785,8555,1,4,22,35,26,11,2,4.25,1.321338384,2,0
slosh,160161,8807,0,2,19,36,27,13,2,4.32,1.12219798,1,1
their,173636,9200,2,14,36,30,13,4,0,3.47,1.160293939,2,0
renew,154987,8417,0,4,20,33,27,13,2,4.27,1.247243434,2,1
allow,156311,8515,0,5,21,32,26,14,3,4.36,1.414642424,2,1
saute,179830,9304,1,8,31,34,19,6,1,3.84,1.226666667,3,0
movie,169071,8847,1,5,18,30,26,16,3,4.32,1.526238384,3,0
cater,217856,11234,1,7,19,22,19,18,15,4.68,2.441034343,2,0
tease,202855,10024,1,16,32,30,16,6,1,3.72,1.432694949,3,1
smelt,185406,9373,0,5,19,33,28,13,2,4.31,1.286767677,1,0
focus,179436,8937,1,4,23,36,24,10,1,4.09,1.206685859,2,0
today,192049,9353,1,7,29,35,20,7,1,3.91,1.234242424,2,0
watch,226349,12400,1,6,14,18,17,24,20,4.96,2.503434343,1,0
lapse,208884,9960,0,8,31,34,19,7,1,3.89,1.18979798,2,0
month,201799,9435,1,5,26,37,22,8,1,4.02,1.191515152,1,0
sweet,207473,9767,1,5,18,31,28,15,2,4.33,1.435454545,2,1
hoard,218595,9823,1,9,30,34,19,7,1,3.89,1.302243434,2,0
cloth,218595,9911,1,8,33,34,17,7,1,3.86,1.262016162,1,0
brine,229895,10405,1,9,25,29,22,12,3,4.13,1.680473737,2,0
ahead,203730,9396,1,5,20,35,26,12,2,4.27,1.373160606,3,1
mourn,240018,10465,1,8,29,34,19,8,1,3.9,1.303030303,2,0
nasty,257304,10813,1,7,26,31,21,11,2,4.02,1.472723232,1,0
rupee,240137,10577,1,2,17,35,30,13,2,4.38,1.207676768,3,1
choke,251094,10521,1,8,30,36,18,6,1,3.84,1.206464646,2,0
chant,250413,10438,1,9,33,33,16,7,1,3.79,1.278686869,1,0
spill,248363,10087,1,5,26,34,22,10,2,4.09,1.355454545,1,1
vivid,255907,11687,1,2,10,29,33,21,4,4.7,1.323232323,2,2
bloke,250674,10405,1,6,21,32,25,12,2,4.15,1.429570707,2,0
trove,277576,11411,1,5,16,24,25,22,8,4.68,1.915781818,2,0
thorn,306356,11814,1,14,38,30,12,4,0,3.47,1.079485859,1,0
other,278731,10887,1,9,26,30,21,10,2,3.96,1.516751515,2,0
tacit,273306,11094,1,4,21,32,26,14,3,4.35,1.471439394,2,1
swill,282327,11241,1,1,8,19,31,30,10,5.08,1.468282828,1,1
dodge,265238,10220,1,3,15,29,27,19,7,4.66,1.658137374,2,1
shake,342003,12767,1,6,16,23,24,21,9,4.62,2.015757576,2,0
caulk,289721,10740,1,4,20,31,26,15,3,4.34,1.479191919,2,0
aroma,287836,10343,1,6,25,33,22,11,2,4.1,1.424242424,3,1
cynic,261521,10343,1,6,25,33,22,11,2,4.1,1.424242424,1,1
robin,277471,3249,1,6,29,34,21,8,1,3.96,1.250909091,2,0
ultra,269885,9310,1,7,23,34,24,10,1,4.07,1.338484848,2,0
ulcer,278826,10631,1,4,18,30,28,16,3,4.4,1.474747475,2,0
pause,304830,13480,1,8,26,32,21,10,2,4.02,1.474343434,3,0
humor,305372,13846,1,5,22,34,25,11,2,4.18,1.361212121,2,0
frame,336236,15369,1,10,20,24,24,17,3,4.2,1.842020202,2,0
elder,288228,13340,1,3,13,24,30,24,5,4.71,1.561515152,2,1
skill,311018,13716,1,3,17,33,27,16,3,4.42,1.397575758,1,1
aloft,319698,13708,1,4,22,36,25,11,2,4.24,1.315329293,2,0
pleat,359679,14813,1,10,28,31,19,9,2,3.92,1.508686869,2,0
shard,358176,14609,1,7,22,28,25,14,4,4.3,1.712020202,1,0
moist,361908,14205,3,13,32,29,16,7,1,3.7,1.542323232,2,0
those,351663,13606,1,13,34,30,15,6,1,3.67,1.334444444,2,0
light,341314,13347,1,10,25,27,19,12,5,4.06,1.870266667,1,0
wrung,294687,11524,0,2,18,39,27,12,2,4.35,1.078282828,1,0
could,313220,11592,1,7,29,35,20,8,1,3.97,1.27950404,2,0
perky,296968,11148,1,4,17,30,27,17,4,4.45,1.542929293,1,0
mount,331844,11451,1,9,29,33,19,7,1,3.82,1.294622222,2,0
whack,302348,10163,1,4,22,37,24,10,2,4.17,1.273838384,1,0
sugar,276404,8708,1,6,25,34,23,9,1,4,1.272727273,2,0
knoll,258038,8317,1,1,11,29,33,21,4,4.71,1.278686869,1,1
crimp,269929,7630,1,5,28,38,20,7,1,3.96,1.14989899,1,0
wince,241489,6850,1,3,17,33,29,15,3,4.46,1.381127273,2,0
prick,273727,7409,1,8,30,33,19,7,1,3.83,1.267081818,1,0
robot,243964,6589,1,8,29,34,20,8,1,3.95,1.316691919,2,1
point,280622,7094,1,16,37,28,12,4,1,3.47,1.24110202,2,0
proxy,220950,6206,1,2,11,24,31,26,6,4.87,1.505322222,1,0
shire,222197,5640,1,8,32,32,18,8,2,3.93,1.413685859,2,0
solar,209609,4955,1,9,32,32,18,7,1,3.82,1.300606061,2,0
panic,205880,4655,1,9,35,34,16,5,1,3.77,1.191140404,2,0
tangy,169484,3985,1,4,21,30,24,15,5,4.37,1.629393939,1,0
abbey,132726,3345,1,2,13,29,31,20,3,4.56,1.331781818,2,1
favor,137586,3073,1,4,15,26,29,21,4,4.57,1.580909091,2,0
drink,153880,3017,1,9,35,34,16,5,1,3.77,1.191140404,1,0
query,107134,2242,1,4,16,30,30,17,2,4.43,1.399090909,2,0
gorge,91477,1913,1,3,13,27,30,22,4,4.64,1.485252525,2,1
crank,101503,1763,1,5,23,31,24,14,2,4.22,1.466262626,1,0
slump,80630,1362,1,3,23,39,24,9,1,4.13,1.124343434,1,0
